Company Name,Digital Maturity Score,Headquaters,Primary Category,Secondary Category,Peak Sales Month,Avg Revenue/Business,Locations Count,Business Type,Annual Revenue,Tech Spend/month,Business Age,Business Model,Revenue Seasonality,Remote-Only Business,Technologies - CMS,Technologies - Analytics and Tracking,Google My Business - Listed,Google My Business - Claimed,Google Reviews,Google Reviews Count,Google Rating,Nextdoor,Nextdoor_Recommendation,Nextdoor_Neighborhood Favorite,Employee Size,Review(s),Ratings,Open Positions,Security Score,Malware,Sensitive Information Security,Caching Enabled,File Compression,Server Response Time,Website CMS,Data Usage,Toll-Free Number,Technologies - Video Calling Platform,Technologies - Email Platform,Technologies - Help Desk,Technologies - Contact Center,Website Page Count,Mobile Friendly,SEO Score,Trust Flow,Local Presence,Domain Age,Social Score,Facebook Business Page,Facebook Likes,Facebook Check-ins,X (Formerly Twitter) Business Account,X (Formerly Twitter) Followers,Posts,YouTube Channel,LinkedIn Company Page,Pinterest Business Account,Pinterest Followers,Pinterest Following,Pinterest Pins,Pinterest Boards,Pinterest Domain Verified,Pinterest Verified Merchant,Instagram Business Account,Instagram Posts,Instagram Followers,Instagram Following,HomeAdvisor - Business Since,HomeAdvisor - Is Claimed,HomeAdvisor - Services Offered,HomeAdvisor - Ratings,HomeAdvisor - Total Reviews Count,Thumbtack - Category,Thumbtack - Years in Business,Thumbtack - Estimated Cost,Thumbtack - Rating,Thumbtack - Review count,Thumbtack - No of Times Hired,Thumbtack - Remote Service,Thumbtack - Discounts,Uber Eats,Uber Eats - Review count,Uber Eats - Rating,Android App,iOS App,Advertising Score,Google Ads Presence,Google AdWords Cost,Google Ads Traffic,Display Ads,Facebook Ads,HomeAdvisor - Advertising,ThumbTack - Advertising,Del-Return Policy,Reservation,Online Ordering,Reviews,Product Count,Average Product Price,Featured Products,Promotions,Coupons,Buying Page,Selling Page,Rentals Page,Menu,Scheduler,Premium Calculator,Inventory Tracking,Finance,WishList,Order Tracking,Get A Quote,Estimate Page,FB Shop,Amazon Seller,Monthly App Spend,Plan,Technologies - Ecommerce Tools,Payments
Breathe Healthier Air,97,Yes,"Heating, Ventilation & Air Conditioning",Heating & Air Conditioning Contractors,"Apr, Jul",$833.03k,1,Commercial,$2.5M - $5M,$0 - $1K,-,B2B,"Spring, Summer",No,WordPress.org,"Google Analytics 4 (GA4),Google Analytics",Yes,Yes,Yes,346,4.8,Yes,25,Yes,1 to 10,0,0,0,50,-,Yes,No,No,694s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,34,Yes,95,1,Yes,"13Y, 7M",100,Yes,"1,230",76,Yes,2,135,Yes,Yes,Yes,-,-,-,-,No,No,Yes,135,257,172,1985,Yes,"Central A/C Install, Ductless Mini-split A/C Install",Array,1,-,-,-,-,-,-,-,-,No,-,-,No,No,41,No,0,0,No,No,Yes,No,Yes,No,No,Yes,-,-,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Nw Lift Truck Service Inc.,97,Yes,Commercial & Industrial Vehicles & Machinery,Forklifts & Trucks,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$2.5M - $5M,$0 - $1K,>10Y,B2B,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,WordPress.org,Google Analytics,Yes,Yes,Yes,12,4,No,-,-,11 to 50,0,0,0,20,-,Yes,No,No,226s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,20,Yes,100,11,Yes,"26Y, 1M",100,Yes,112,7,Yes,33,9,Yes,Yes,Yes,0,0,7,4,No,No,Yes,1,6,0,,,,,,,,,,,,,,No,-,-,No,No,41,Yes,<$1K,0,No,No,,,Yes,No,No,Yes,4,-,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Niello Company,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,2,Commercial,$50M - $100M,$5K - $20K,>10Y,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,,Google Analytics,Yes,Yes,Yes,23,3.6,Yes,-,No,501 to 1000,0,0,0,20,-,Yes,No,No,484s,Not Detected,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,226,Yes,100,35,Yes,"28Y, 10M",100,Yes,"4,292","1,517",Yes,722,"2,318",Yes,Yes,Yes,20,55,72,13,No,No,Yes,"1,434","7,881",95,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,0,Yes,No,,,Yes,No,No,No,-,-,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Everyday Athletes,97,Yes,Health & Fitness Clubs,Exercise & Physical Fitness Programs,"Jan, Feb, Mar",$324.16k,1,Commercial,$500K - $1M,$1K - $5K,-,B2C,"Winter, Valentine, Spring",No,WordPress.org,"Google Analytics,Google Analytics 4 (GA4)",Yes,Yes,Yes,148,4.8,Yes,-,No,1 to 10,0,0,0,20,-,Yes,No,No,0s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,26,Yes,100,37,Yes,"12Y, 5M",100,Yes,"2,394","9,658",Yes,73,251,Yes,Yes,Yes,0,3,5,2,No,No,Yes,"1,032","22,263","7,446",,,,,,-,-,-,-,-,-,-,-,No,-,-,No,No,51,Yes,<$1K,0,Yes,Yes,,No,No,No,No,Yes,-,-,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Haselwood Chevrolet Buick Gmc,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$50M - $100M,$1K - $5K,>10Y,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Bolt,Orchard CMS","VinLens,Google Analytics",Yes,Yes,Yes,1622,4.3,Yes,2,No,201 to 500,0,0,0,50,-,Yes,No,No,413s,"Bolt, Orchard CMS",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,114,Yes,100,22,Yes,"27Y, 7M",100,Yes,"1,898","2,228",Yes,-,-,Yes,Yes,Yes,0,5,0,0,No,No,Yes,"1,067",894,"6,102",,,,,,,,,,,,,,No,-,-,No,No,51,Yes,<$1K,0,Yes,Yes,,,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
The Lodge At Moosehead Lake,97,Yes,"Hotels, Motels, & Lodging",Bed & Breakfast Accommodations,"Jun, Jul, Aug",$1237.68k,1,-,$1M - $2.5M,$0 - $1K,>10Y,B2C,Summer,No,WordPress.org,Google Analytics,Yes,Yes,Yes,145,4.8,No,-,-,1 to 10,0,0,0,20,-,Yes,No,No,0s,WordPress.org,Medium,Yes,Not Detected,Rackspace Email,Not Detected,Not Detected,1,Yes,95,39,Yes,"27Y, 12M",100,Yes,"3,465","1,278",Yes,-,-,Yes,Yes,Yes,-,-,235,16,No,No,Yes,3,7,5,,,,,,,,,,,,,,No,-,-,No,No,41,Yes,<$1K,29,No,No,,,Yes,Yes,No,No,-,-,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Quick Lane Tire & Auto Center,97,Yes,Automobile - Repairs & Services,Oil Change Services,"Mar, Jun, Jul, Aug",$378.59k,1,Residential,$10M - $25M,$5K - $20K,>10Y,B2B & B2C,"Spring, Summer",No,,"VinLens,Google Analytics",Yes,Yes,Yes,214,4.6,Yes,-,No,51 to 100,0,0,0,20,-,Yes,No,No,2413s,Not Detected,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,122,Yes,95,33,Yes,"28Y, 7M",100,Yes,715,20,Yes,291,"8,396",Yes,Yes,Yes,158,439,525,14,No,No,Yes,"2,034",679,48,,,,,,,,,,,,,,No,-,-,No,No,61,Yes,<$1K,1,Yes,Yes,,,Yes,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,-,-,Not Detected,Not Detected
"Inkfree, Md Laser Clinic",97,Yes,"Hair & Beauty Supplies, Service & Equipment",Laser Hair Removal,"Jun, Jul, Aug",$0.00k,2,-,$500K - $1M,$1K - $5K,-,B2B,Summer,No,WordPress.org,,Yes,Yes,Yes,90,4.8,Yes,-,No,1 to 10,0,0,0,30,-,Yes,Yes,No,400s,WordPress.org,Medium,No,Not Detected,Outlook,Not Detected,Not Detected,30,Yes,100,2,Yes,"13Y, 2M",100,Yes,"2,146",336,Yes,143,879,Yes,Yes,Yes,-,-,57,11,No,No,Yes,880,"2,817","1,241",,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,0,-,Yes,,,No,No,No,Yes,-,-,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Mccarthy Honda,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$2.5M - $5M,$5K - $20K,>10Y,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt","CrazyEgg,Google Analytics",Yes,Yes,Yes,3725,4.6,Yes,5,No,11 to 50,0,0,0,20,-,Yes,No,Yes,12s,"Joomla, DealerOn, Bolt",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,110,Yes,100,20,Yes,"12Y, 10M",100,Yes,"4,321","1,123",Yes,53,"1,109",Yes,Yes,Yes,54,49,341,17,No,No,Yes,155,194,51,,,,,,,,,,,,,,No,-,-,No,No,51,Yes,<$1K,2,Yes,No,,,Yes,No,No,No,-,-,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Corwin Honda Kalispell,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,-,$10M - $25M,$1K - $5K,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt","CrazyEgg,Google Analytics",Yes,Yes,Yes,968,4.6,Yes,-,No,51 to 100,0,0,0,20,-,Yes,No,No,7s,"Joomla, DealerOn, Bolt",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,51,Yes,100,5,Yes,"6Y, 1M",100,Yes,-,0,Yes,33,40,Yes,Yes,Yes,0,6,26,2,No,No,Yes,510,85,22,,,,,,,,,,,,,,No,-,-,No,No,56,Yes,<$1K,6,Yes,No,,,No,No,No,Yes,-,-,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,-,-,Not Detected,Not Detected
